epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,179428,1.42976,1.67262,0.01554,0.67255,0.54421,0.61539,0.38933,1.08776,1.11358,0.01558,0.00307,0.00307,0.00307
58,182546,1.41937,1.66556,0.01535,0.67317,0.54341,0.61645,0.3905,1.08647,1.11029,0.01554,0.00294625,0.00294625,0.00294625
59,185672,1.41053,1.66224,0.01546,0.67327,0.54454,0.6174,0.39164,1.08447,1.10755,0.01549,0.0028225,0.0028225,0.0028225
60,188786,1.41324,1.66247,0.01523,0.67485,0.54484,0.6188,0.39317,1.08307,1.10275,0.01544,0.00269875,0.00269875,0.00269875
61,191910,1.41168,1.64462,0.0153,0.67593,0.54591,0.62055,0.39478,1.08151,1.09819,0.0154,0.002575,0.002575,0.002575
62,195036,1.40388,1.63082,0.01525,0.67843,0.54637,0.62187,0.39604,1.07956,1.09499,0.01536,0.00245125,0.00245125,0.00245125
63,198155,1.39385,1.61476,0.0151,0.67691,0.54746,0.62299,0.39698,1.07832,1.09183,0.01533,0.0023275,0.0023275,0.0023275
64,201277,1.39386,1.62167,0.01504,0.67872,0.54822,0.62384,0.39819,1.07723,1.08794,0.01531,0.00220375,0.00220375,0.00220375
65,204397,1.39125,1.61008,0.01509,0.67872,0.54913,0.62485,0.39919,1.07584,1.0856,0.01528,0.00208,0.00208,0.00208
66,207515,1.36732,1.58524,0.01482,0.67963,0.54927,0.62596,0.40033,1.07463,1.08205,0.01525,0.00195625,0.00195625,0.00195625
67,210636,1.3794,1.59,0.01485,0.68276,0.55025,0.62788,0.40183,1.07341,1.07906,0.01524,0.0018325,0.0018325,0.0018325
68,213764,1.38121,1.60293,0.01467,0.68511,0.54955,0.62866,0.40267,1.07247,1.07691,0.01523,0.00170875,0.00170875,0.00170875
69,216884,1.37292,1.57758,0.01473,0.68678,0.54948,0.62955,0.4037,1.07125,1.07438,0.0152,0.001585,0.001585,0.001585
70,220004,1.36069,1.55525,0.01469,0.68747,0.55048,0.63102,0.40483,1.07035,1.07172,0.01518,0.00146125,0.00146125,0.00146125
71,223089,1.16189,1.17081,0.01396,0.68883,0.55116,0.63131,0.40545,1.06856,1.06992,0.01514,0.0013375,0.0013375,0.0013375
72,226177,1.16528,1.15621,0.01394,0.69145,0.55083,0.6324,0.40638,1.06746,1.06824,0.01512,0.00121375,0.00121375,0.00121375
73,229265,1.14405,1.11868,0.01366,0.68886,0.55168,0.63294,0.40704,1.06658,1.06574,0.0151,0.00109,0.00109,0.00109
74,232332,1.13835,1.11764,0.01357,0.69135,0.55151,0.63391,0.40809,1.06489,1.06408,0.01506,0.00096625,0.00096625,0.00096625
75,235401,1.13891,1.1257,0.01354,0.69168,0.55291,0.63471,0.40912,1.0634,1.06215,0.01503,0.0008425,0.0008425,0.0008425
76,238458,1.1278,1.10218,0.01367,0.69029,0.55343,0.63536,0.40999,1.06258,1.05912,0.01502,0.00071875,0.00071875,0.00071875
77,241525,1.12448,1.09873,0.0134,0.69033,0.55466,0.63657,0.41112,1.06116,1.05626,0.01498,0.000595,0.000595,0.000595
78,244594,1.11794,1.09446,0.0131,0.69233,0.55539,0.63781,0.41234,1.06062,1.05283,0.01496,0.00047125,0.00047125,0.00047125
79,247665,1.11315,1.07766,0.01325,0.69438,0.55563,0.63892,0.41337,1.06054,1.04978,0.01495,0.0003475,0.0003475,0.0003475
80,250742,1.10665,1.07424,0.01298,0.69423,0.55709,0.64026,0.41423,1.06009,1.04726,0.01494,0.00022375,0.00022375,0.00022375
